OS-C,Br.,Cat,English name,Scientific name,Dist,Category
676,995,F,Mountain Wagtail,Motacilla clara,KU,"Motacillidae:  Wagtails,  pipits and longclaws"
689,984,f,Tree Pipit,Anthus trivia/is,KU,"Motacillidae:  Wagtails,  pipits and longclaws"
692,983,FF,Sokoke Pipit,Anthus sokokensis,K,"Motacillidae:  Wagtails,  pipits and longclaws"
698,697,FF,Cameroon Sombre Greenbul,Andropadus curvirostris,KU,Pycnonotidae: Bulbuls
699,699,FF,Little Grey Greenbul,Andropadus gracilis,KU,Pycnonotidae: Bulbuls
700,696,FF,Ansorge 's Greenbul,Andropadus ansorgei,K,Pycnonotidae: Bulbuls
701,705,F,Little Greenbul,Andropadus virens,KU,Pycnonotidae: Bulbuls
702,701,F,Yellow-whiskered Greenbul,Andropadus latirostris,KU,Pycnonotidae: Bulbuls
703,698,FF,Slender-billed Greenbul,Andropadus gracilirostris,KU,Pycnonotidae: Bulbuls
704,702,FF,Shelley's Greenbul,Andropadus masukuensis,KU,Pycnonotidae: Bulbuls
705,704,FF,Mountain Greenbul,Andropadus nigriceps,KU ,Pycnonotidae: Bulbuls
707,703,FF,Stripe-cheeked Greenbul,Andropadus milanjensis,K,Pycnonotidae: Bulbuls
709,721,F,Grey-olive Greenbul,Phyllastrephus cerviniventris,K,Pycnonotidae: Bulbuls
710,719,FF,Toro Olive Greenbul,Phyllastrephus hypochloris,KU,Pycnonotidae: Bulbuls
711,726,FF,Sassi's Olive Greenbul,Phyllastrephus lorenzi,U,Pycnonotidae: Bulbuls
712,723,FF,Fischer's Greenbul,Phyllastrephus fischeri,K,Pycnonotidae: Bulbuls
713,727,FF,Cabanis' s Greenbul,Phyllastrephus cabanisi,KU,Pycnonotidae: Bulbuls
714,729,f,Northern Brownbul,Phyllastrephus strepitans,KU,Pycnonotidae: Bulbuls
715,730,F,Terrestrial Brownbul,Phyllastrephus terrestris,K,Pycnonotidae: Bulbuls
716,718,FF,White-throated Greenbul,Phyllastrephus albigularis,U,Pycnonotidae: Bulbuls
717,725,FF,Icterine Greenbul,Phyllastrephus icterinus,U,Pycnonotidae: Bulbuls
718,731,FF,Xavier's Greenbul,Phyllastrephus xavieri,U,Pycnonotidae: Bulbuls
719,724,FF,Yellow-streaked Greenbul,Phyllastrephus flavostriatus,KU,Pycnonotidae: Bulbuls
720,722,FF,Tiny Greenbul,Phyllastrephus debilis,K,Pycnonotidae: Bulbuls
721,728,F,Leaflove,Pyrrhurus scandens,U,Pycnonotidae: Bulbuls
722,733,F,Swamp Greenbul,Thescelocichla leucopleura,U,Pycnonotidae: Bulbuls
723,706,FF,Honeyguide Greenbul,Baeopogon indicator,KU,Pycnonotidae: Bulbuls
724,715,FF,Spotted Greenbul,Ixonotus guttatus,U,Pycnonotidae: Bulbuls
725,711,F,Joyful Greenbul,Chlorocichla laetissima,KU,Pycnonotidae: Bulbuls
726,710,F,Yellow-bellied Greenbul,Chlorocichla flaviventris,K,Pycnonotidae: Bulbuls
727,712,F,Simple Greenbul,Chlorocichla simplex,U,Pycnonotidae: Bulbuls
728,709,f,Yellow-throated Leaflove,Chlorocichla flavicollis,KU,Pycnonotidae: Bulbuls
729,732,f,Common Bulbul,Pycnonotus barbatus,KU,Pycnonotidae: Bulbuls
730,708,FF,Red-tailed Bristlebill,Bleda syndactyla,KU,Pycnonotidae: Bulbuls
731,707,FF,Green-tailed Bristlebill,Bleda eximia,U,Pycnonotidae: Bulbuls
732,713,FF,Eastern Bearded Greenbul,Criniger chloronotus,U,Pycnonotidae: Bulbuls
733,714,FF,Red-tailed Greenbul,Criniger calurus,U,Pycnonotidae: Bulbuls
734,716,F,Western Nicator,Nicator chloris,U,Pycnonotidae: Bulbuls
735,716,F,Eastern Nicator,Nicator gularis,K,Pycnonotidae: Bulbuls
736,717,FF,Yellow-throated Nicator,Nicator vireo,U,Pycnonotidae: Bulbuls
737,671,FF,African Hill Babbler,Pseudoalcippe abyssinica,KU,Timaliidae: Babblers
748,673,FF,Capuchin Babbler,Phyllanthus atripennis,U,Timaliidae: Babblers
749,672,FF,Grey-chested Illadopsis,Kakamega poliothorax,KU,Timaliidae: Babblers
750,675,FF,Brown Illadopsis,Illadopsis fulvescens,KU,Timaliidae: Babblers
751,676,FF,Mountain Illadopsis,Illadopsis pyrrhoptera,KU,Timaliidae: Babblers
752,677,FF,Pale-breasted Illadopsis,Illadopsis rufipennis,KU,Timaliidae: Babblers
753,674,FF,Scaly-breasted Illadopsis,Illadopsis albipectus,KU,Timaliidae: Babblers
,,FF,Puvel' s Illadopsis,Illadopsis puveli ,U,Timaliidae: Babblers
756,783,F,White-starred Robin,Pogonocichla  stellata,KU,Turdidae: Thrushes and relatives
760,786,FF,Lowland Akalat,Sheppardia cyomithopsis,U,Turdidae: Thrushes and relatives
761,785,FF,Equatorial Akalat,Sheppardia aequatorialis,KU,Turdidae: Thrushes and relatives
763,787,FF,East Coast Akalat,Sheppardia gunningi,K,Turdidae: Thrushes and relatives
766,761,FF,Grey-winged  Robin,Sheppardia polioptera,KU,Turdidae: Thrushes and relatives
767,757,F,Archer's Robin-Chat,Cossypha archeri,U,Turdidae: Thrushes and relatives
769,749,f,Cape Robin Chat,Cossypha caffra,KU,Turdidae: Thrushes and relatives
770,752,F,Red-capped Robin Chat,Cossypha natalensis,KU,Turdidae: Thrushes and relatives
771,755,F,Riippell's Robin Chat,Cossypha semirufa,K,Turdidae: Thrushes and relatives
772,751,f,White-browed  Robin Chat,Cossypha heuglini,KU,Turdidae: Thrushes and relatives
773,750,F,Blue-shouldered Robin Chat,Cossypha cyanocampter,KU,Turdidae: Thrushes and relatives
774,753,F,Snowy-headed  Robin Chat,Cossypha niveicapilla,KU,Turdidae: Thrushes and relatives
775,754,FF,White-bellied  Robin Chat,Cossyphicula  roberti,U,Turdidae: Thrushes and relatives
776,734,FF,Fire-crested  Alethe,Alethe diademata,U,Turdidae: Thrushes and relatives
777,737,FF,Red-throated Alethe,Alethe poliophrys,U,Turdidae: Thrushes and relatives
778,736,FF,Brown-chested  Alethe,Alethe poliocephala,KU,Turdidae: Thrushes and relatives
780,773,FF,Red-tailed Ant Thrush,Neocossyphus rufus,KU,Turdidae: Thrushes and relatives
781,772,FF,White-tailed Ant Thrush,Neocossyphus poensis,KU,Turdidae: Thrushes and relatives
787,743,f,Brown-backed  Scrub Robin,Cercotrichas hartlaubi,KU,Turdidae: Thrushes and relatives
788,746,f,Eastern Bearded Scrub Robin,Cercotrichas quadrivirgata,K,Turdidae: Thrushes and relatives
790,745,FF,Northern Bearded Scrub Robin,Cercotrichas leucosticta,U,Turdidae: Thrushes and relatives
812,790,FF,Rufous Thrush,Stizorhina fraseri,U,Turdidae: Thrushes and relatives
816,793,F,Olive Thrush,Turdus olivaceus,KU,Turdidae: Thrushes and relatives
817,,FF,Taita Thrush,Turdus (olivaceus) helleri,K,Turdidae: Thrushes and relatives
818,801,f,African Thrush,Turdus pelios,KU,Turdidae: Thrushes and relatives
822,795,FF,Spotted Ground Thrush,Zoothera guttata,K,Turdidae: Thrushes and relatives
823,794,FF,Black-eared  Ground Thrush,Zoothera cameronensis,U,Turdidae: Thrushes and relatives
824,,FF,Grey Ground Thrush,Zoothera princei,U,Turdidae: Thrushes and relatives
825,796,FF,Orange Ground Thrush,Zoothera gurneyi,K,Turdidae: Thrushes and relatives
826,802,FF,Abyssinian Ground Thrush,Zoothera piaggiae,KU,Turdidae: Thrushes and relatives
827,803,FF,Kivu Ground Thrush,Zoothera tanganjicae,U,Turdidae: Thrushes and relatives
828,800,FF,Forest Ground Thrush,Zoothera oberlaenderi,U,Turdidae: Thrushes and relatives
831,936,F,African Dusky Flycatcher,Muscicapa adusta,KU,Muscicapidae: Old World flycatchers
832,943,FF,Chapin' s Flycatcher,Muscicapa lendu,KU,Muscicapidae: Old World flycatchers
834,939,F,Cassin's Grey Flycatcher,Muscicapa cassini,U,Muscicapidae: Old World flycatchers
835,944,FF,Yellow-footed  Flycatcher,Muscicapa sethsmithi,U,Muscicapidae: Old World flycatchers
836,938,F,Ashy Flycatcher,Muscicapa caerulescens,KU,Muscicapidae: Old World flycatchers
837,940,F,Dusky Blue Flycatcher,Muscicapa comitata,U,Muscicapidae: Old World flycatchers
838,926,FF,Sooty Flycatcher,Muscicapa fuliginosa,U,Muscicapidae: Old World flycatchers
840,933,F,White-eyed Slaty Flycatcher,Melaenomis fischeri,KU,Muscicapidae: Old World flycatchers
841,932,F,Yellow-eyed Black Flycatcher,Melaenornis ardesiaca,U,Muscicapidae: Old World flycatchers
847,931,F,Forest Flycatcher,Fraseria ocreata,U,Muscicapidae: Old World flycatchers
850,946,f,Lead-coloured  Flycatcher,Myioparus plumbeus,KU,Muscicapidae: Old World flycatchers
851,942,FF,Grey-throated Flycatcher,Myioparus griseigularis,KU,Muscicapidae: Old World flycatchers
869,918,f,Garden Warbler,Sylvia borin,KU,Sylviidae: Old World warblers
870,917,F,Blackcap,Sylvia atricapilla,KU,Sylviidae: Old World warblers
871,907,F,Wood Warbler,Phylloscopus sibilatrix,KU,Sylviidae: Old World warblers
872,904,F,Chiffchaff,Phylloscopus collybita,KU,Sylviidae: Old World warblers
873,908,f,Willow Warbler,Phylloscopus trochilus,KU,Sylviidae: Old World warblers
874,903,FF,Uganda Woodland  Warbler,Phylloscopus budongoensis,KU,Sylviidae: Old World warblers
875,905,FF,Red-faced Woodland Warbler,Phylloscopus laetus,U,Sylviidae: Old World warblers
876,909,F,Brown Woodland Warbler,Phylloscopus umbrovirens,KU,Sylviidae: Old World warblers
877,906,F,Yellow-throated Woodland Warbler,Phylloscopus ruficapillus,K,Sylviidae: Old World warblers
879,889,F,Green Hylia,Hylia prasina,KU,Sylviidae: Old World warblers
883,833,FF,Evergreen Forest Warbler,Bradypterus lopezi,KU,Sylviidae: Old World warblers
884,835,F,Cinnamon Bracken Warbler,Bradypterus cinnamomeus,KU,Sylviidae: Old World warblers
885,831,F,Bamboo Warbler,Bradypterus alfredi,U,Sylviidae: Old World warblers
886,829,FF,Black-faced Rufous Warbler,Bathmocercus  rufus,KU,Sylviidae: Old World warblers
892,844,F,Mountain Yellow Warbler,Chloropeta  similis,KU,Sylviidae: Old World warblers
898,855,F,Chubb's Cisticola,Cisticola chubbi,KU,Sylviidae: Old World warblers
899,861,F,Hunter's Cisticola,Cisticola hunteri,KU,Sylviidae: Old World warblers
924,913,f,Tawny-flanked  Prinia,Prinia subflava,KU,Sylviidae: Old World warblers
926,910,F,Banded Prinia,Prinia bairdii,KU,Sylviidae: Old World warblers
927,911,F,White-chinned Prinia,Prinia leucopogon,KU,Sylviidae: Old World warblers
933,837,f,Grey-backed Camaroptera,Camaroptera brachyura,KU,Sylviidae: Old World warblers
934,838,FF,Olive-green Camaroptera,Camaroptera  chloronota,KU,Sylviidae: Old World warblers
