,ebird code,Scientific Name,Common Name
312,blfsan1,Pterocles decoratus,Black-faced Sandgrouse
313,licsan1,Pterocles lichtensteinii,Lichtenstein's Sandgrouse
314,fobsan1,Pterocles quadricinctus,Four-banded Sandgrouse
315,rocpig,Columba livia,Feral Pigeon
316,spepig1,Columba guinea,Speckled Pigeon
317,rampig1,Columba arquatrix,African Olive Pigeon
318,delpig1,Columba delegorguei,Eastern Bronze-naped Pigeon
319,lemdov2,Aplopelia larvata,Lemon Dove
320,eutdov,Streptopelia turtur,European Turtle Dove
321,dutdov1,Streptopelia lugens,Dusky Turtle Dove
322,wwcdov1,Streptopelia reichenowi,African White-winged Dove
323,afmdov1,Streptopelia decipiens,African Mourning Dove
324,reedov1,Streptopelia semitorquata,Red-eyed Dove
325,rindov,Streptopelia capicola,Ring-necked Dove
326,laudov1,Streptopelia senegalensis,Laughing Dove
327,eswdov1,Turtur chalcospilos,Emerald-spotted Wood Dove
328,bswdov1,Turtur afer,Blue-spotted Wood Dove
329,tamdov1,Turtur tympanistria,Tambourine Dove
330,namdov1,Oena capensis,Namaqua Dove
331,brgpig1,Treron waalia,Bruce's Green Pigeon
332,afrgrp1,Treron calvus,African Green Pigeon
333,rehlov1,Agapornis pullarius,Red-headed Lovebird
334,yeclov,Agapornis personatus,Yellow-collared Lovebird
335,fislov1,Agapornis fischeri,Fischer's Lovebird
336,x00671,Agapornis fischeri x personatus,Hybrid Lovebird
337,grepar,Psittacus erithacus,Grey Parrot
338,refpar5,Poicephalus gulielmi,Red-fronted Parrot
339,meypar1,Poicephalus meyeri,Meyer's Parrot
340,brhpar2,Poicephalus cryptoxanthus,Brown-headed Parrot
341,rebpar1,Poicephalus rufiventris,African Orange-bellied Parrot
342,grbtur1,Corythaeola cristata,Great Blue Turaco
343,schtur1,Tauraco schalowi,Schalow's Turaco
344,blbtur1,Tauraco schuetti,Black-billed Turaco
345,fistur1,Tauraco fischeri,Fischer's Turaco
346,whctur2,Tauraco leucolophus,White-crested Turaco
347,hartur1,Tauraco hartlaubi,Hartlaub's Turaco
348,puctur2,Tauraco porphyreolophus,Purple-crested Turaco
349,rostur1,Musophaga rossae,Ross's Turaco
350,bfgbir1,Corythaixoides personatus,Bare-faced Go-away-bird
351,wbgbir1,Corythaixoides leucogaster,White-bellied Go-away-bird
352,easple1,Crinifer zonurus,Eastern Grey Plantain-eater
353,piecuc1,Clamator jacobinus,Jacobin Cuckoo
354,levcuc1,Clamator levaillantii,Levaillant's Cuckoo
355,grscuc1,Clamator glandarius,Great Spotted Cuckoo
356,thbcuc1,Pachycoccyx audeberti,Thick-billed Cuckoo
357,reccuc1,Cuculus solitarius,Red-chested Cuckoo
358,blacuc1,Cuculus clamosus,Black Cuckoo
359,comcuc,Cuculus canorus,Common Cuckoo
360,afrcuc1,Cuculus gularis,African Cuckoo
361,lescuc1,Cuculus poliocephalus,Lesser Cuckoo
362,madcuc1,Cuculus rochii,Madagascar Cuckoo
363,bltcuc1,Cercococcyx montanus,Barred Long-tailed Cuckoo
