,ebird code,Scientific Name,Common Name
157,lizbuz1,Kaupifalco monogrammicus,Lizard Buzzard
158,grabuz1,Butastur rufipennis,Grasshopper Buzzard
159,combuz1,Buteo buteo,Common Buzzard
160,moubuz2,Buteo oreophilus,Mountain Buzzard
161,lolbuz1,Buteo rufinus,Long-legged Buzzard
162,augbuz2,Buteo augur,Augur Buzzard
163,leseag1,Aquila pomarina,Lesser Spotted Eagle
164,grseag1,Aquila clanga,Greater Spotted Eagle
165,taweag1,Aquila rapax,Tawny Eagle
166,steeag1,Aquila nepalensis,Steppe Eagle
167,impeag1,Aquila heliaca,Eastern Imperial Eagle
168,vereag1,Aquila verreauxii,Verreaux's Eagle
169,waheag3,Aquila wahlbergi,Wahlberg's Eagle
170,afrhae1,Aquila spilogaster,African Hawk Eagle
171,booeag1,Aquila pennata,Booted Eagle
172,mareag1,Polemaetus bellicosus,Martial Eagle
173,loceag1,Lophaetus occipitalis,Long-crested Eagle
174,crheag1,Stephanoaetus coronatus,Crowned Eagle
175,arabus1,Ardeotis arabs,Arabian Bustard
176,korbus1,Ardeotis kori,Kori Bustard
177,stabus1,Neotis denhami,Denham's Bustard
178,heubus1,Neotis heuglinii,Heuglin's Bustard
179,whbbus2,Eupodotis senegalensis,White-bellied Bustard
180,bucbus1,Lophotis gindiana,Buff-crested Bustard
181,bkbbus1,Lissotis melanogaster,Black-bellied Bustard
182,harbus2,Lissotis hartlaubii,Hartlaub's Bustard
183,whsflu1,Sarothrura pulchra,White-spotted Flufftail
184,busflu1,Sarothrura elegans,Buff-spotted Flufftail
185,recflu1,Sarothrura rufa,Red-chested Flufftail
186,stbflu1,Sarothrura boehmi,Streaky-breasted Flufftail
187,strflu1,Sarothrura affinis,Striped Flufftail
188,afrrai1,Rallus caerulescens,African Water Rail
189,afrcra1,Crex egregia,African Crake
190,corcra,Crex crex,Corncrake
191,blacra1,Amaurornis flavirostra,Black Crake
192,baicra1,Porzana pusilla,Baillon's Crake
193,spocra1,Porzana porzana,Spotted Crake
194,strcra1,Aenigmatolimnas marginalis,Striped Crake
195,purswa1,Porphyrio porphyrio,Purple Swamphen
196,allgal1,Porphyrio alleni,Allen's Gallinule
197,commoo3,Gallinula chloropus,Common Moorhen
198,lesmoo1,Gallinula angulata,Lesser Moorhen
199,rekcoo1,Fulica cristata,Red-knobbed Coot
200,afrfin1,Podica senegalensis,African Finfoot
201,grccra1,Balearica regulorum,Grey Crowned Crane
202,blccra1,Balearica pavonina,Black Crowned Crane
203,demcra1,Anthropoides virgo,Demoiselle Crane
204,comcra,Grus grus,Common Crane
205,smabut2,Turnix sylvaticus,Common Buttonquail
206,hotbut3,Turnix hottentottus,Black-rumped Buttonquail
207,quailp1,Ortyxelos meiffrenii,Quailplover
208,eutkne1,Burhinus oedicnemus,Stone-curlew
209,setkne1,Burhinus senegalensis,Senegal Thick-knee
210,watkne1,Burhinus vermiculatus,Water Thick-knee
211,sptkne1,Burhinus capensis,Spotted Thick-knee
212,euroys1,Haematopus ostralegus,Eurasian Oystercatcher
213,craplo1,Dromas ardeola,Crab-plover
214,bkwsti,Himantopus himantopus,Black-winged Stilt
215,pieavo1,Recurvirostra avosetta,Pied Avocet
216,norlap,Vanellus vanellus,Northern Lapwing
217,lotlap1,Vanellus crassirostris,Long-toed Plover
218,blaplo1,Vanellus armatus,Blacksmith Plover
219,spwlap1,Vanellus spinosus,Spur-winged Plover
220,blhlap1,Vanellus tectus,Black-headed Plover
221,senlap1,Vanellus lugubris,Senegal Plover
222,blwlap1,Vanellus melanopterus,Black-winged Plover
223,crolap1,Vanellus coronatus,Crowned Plover
224,watlap1,Vanellus senegallus,African Wattled Plover
225,brclap1,Vanellus superciliosus,Brown-chested Plover
226,pagplo,Pluvialis fulva,Pacific Golden Plover
227,bkbplo,Pluvialis squatarola,Grey Plover
228,corplo,Charadrius hiaticula,Common Ringed Plover
229,lirplo,Charadrius dubius,Little Ringed Plover
230,kitplo1,Charadrius pecuarius,Kittlitz's Plover
231,thbplo1,Charadrius tricollaris,Three-banded Plover
232,whfplo1,Charadrius marginatus,White-fronted Plover
233,kenplo1,Charadrius alexandrinus,Kentish Plover
234,chbplo1,Charadrius pallidus,Chestnut-banded Plover
235,casplo1,Charadrius asiaticus,Caspian Plover
236,grpsni1,Rostratula benghalensis,Greater Painted-snipe
237,lesjac1,Microparra capensis,Lesser Jacana
238,afrjac1,Actophilornis africanus,African Jacana
239,jacsni,Lymnocryptes minimus,Jack Snipe
240,pitsni,Gallinago stenura,Pintail Snipe
241,afrsni1,Gallinago nigripennis,African Snipe
242,gresni1,Gallinago media,Great Snipe
243,comsni,Gallinago gallinago,Common Snipe
244,bktgod,Limosa limosa,Black-tailed Godwit
245,batgod,Limosa lapponica,Bar-tailed Godwit
246,whimbr,Numenius phaeopus,Whimbrel
247,eurcur,Numenius arquata,Eurasian Curlew
248,spored,Tringa erythropus,Spotted Redshank
249,comred1,Tringa totanus,Common Redshank
250,marsan,Tringa stagnatilis,Marsh Sandpiper
251,comgre,Tringa nebularia,Common Greenshank
252,grnsan,Tringa ochropus,Green Sandpiper
253,woosan,Tringa glareola,Wood Sandpiper
254,tersan,Xenus cinereus,Terek Sandpiper
255,comsan,Actitis hypoleucos,Common Sandpiper
256,sposan,Actitis macularius,Spotted Sandpiper
257,rudtur,Arenaria interpres,Ruddy Turnstone
258,redkno,Calidris canutus,Red Knot
259,sander,Calidris alba,Sanderling
260,rensti,Calidris ruficollis,Red-necked Stint
261,litsti,Calidris minuta,Little Stint
262,temsti,Calidris temminckii,Temminck's Stint
263,lotsti,Calidris subminuta,Long-toed Stint
264,pecsan,Calidris melanotos,Pectoral Sandpiper
265,cursan,Calidris ferruginea,Curlew Sandpiper
266,dunlin,Calidris alpina,Dunlin
267,brbsan,Limicola falcinellus,Broad-billed Sandpiper
268,bubsan,Tryngites subruficollis,Buff-breasted Sandpiper
269,ruff,Philomachus pugnax,Ruff
270,renpha,Phalaropus lobatus,Red-necked Phalarope
271,redpha1,Phalaropus fulicarius,Grey Phalarope
272,egyplo1,Pluvianus aegyptius,Egyptian Plover
273,crccou1,Cursorius cursor,Cream-coloured Courser
274,somcou1,Cursorius somalensis,Somali Courser
275,temcou1,Cursorius temminckii,Temminck's Courser
276,dobcou2,Rhinoptilus africanus,Double-banded Courser
277,thbcou1,Rhinoptilus cinctus,Heuglin's Courser
278,brwcou1,Rhinopterus chalcopterus,Bronze-winged Courser
279,colpra,Glareola pratincola,Collared Pratincole
280,blwpra1,Glareola nordmanni,Black-winged Pratincole
281,madpra1,Glareola ocularis,Madagascar Pratincole
282,rocpra1,Glareola nuchalis,Rock Pratincole
283,soogul2,Larus hemprichii,Sooty Gull
284,mewgul,Larus canus,Common Gull
285,kelgul,Larus dominicanus,Kelp Gull
286,lbbgul,Larus fuscus,Lesser Black-backed Gull
287,gbhgul2,Larus ichthyaetus,Pallas's Gull
288,bkhgul,Chroicocephalus ridibundus,Black-headed Gull
289,slbgul1,Chroicocephalus genei,Slender-billed Gull
290,gubter2,Gelochelidon nilotica,Gull-billed Tern
291,caster1,Hydroprogne caspia,Caspian Tern
292,lecter2,Sterna bengalensis,Lesser Crested Tern
293,santer1,Sterna sandvicensis,Sandwich Tern
294,roster,Sterna dougallii,Roseate Tern
295,comter,Sterna hirundo,Common Tern
296,whcter1,Sterna repressa,White-cheeked Tern
297,litter1,Sternula albifrons,Little Tern
298,sauter2,Sternula saundersi,Saunders's Tern
299,briter1,Onychoprion anaethetus,Bridled Tern
300,sooter1,Onychoprion fuscata,Sooty Tern
301,whiter2,Chlidonias hybrida,Whiskered Tern
302,whwter,Chlidonias leucopterus,White-winged Black Tern
303,blkter,Chlidonias niger,Black Tern
304,brnnod,Anous stolidus,Brown Noddy
305,lesnod1,Anous tenuirostris,Lesser Noddy
306,afrski1,Rhynchops flavirostris,African Skimmer
307,pomjae,Stercorarius pomarinus,Pomarine Skua
308,parjae,Stercorarius parasiticus,Arctic Skua
309,lotjae,Stercorarius longicaudus,Long-tailed Skua
310,chbsan,Pterocles exustus,Chestnut-bellied Sandgrouse
311,yetsan1,Pterocles gutturalis,Yellow-throated Sandgrouse
